"Candidates","Suppliers","DistanceCandidateSupplier"
1,1,192.61
1,2,175.97
1,3,179.64
1,4,18.06
1,5,141.07
1,6,190.36
1,7,50.89
1,8,179.24
1,9,93.43
1,10,101.05
1,11,195.02
1,12,80.3
1,13,117.63
1,14,27.84
1,15,66.89
1,16,77.31
1,17,90.01
1,18,52.3
1,19,43.99
1,20,47.16
1,21,74.92
1,22,88.04
1,23,72.67
1,24,80.62
1,25,167.52
1,26,167.57
1,27,126.85
1,28,134.7
1,29,52.64
1,30,152.99
1,31,119.16
1,32,91.69
1,33,217.24
1,34,261.02
1,35,127.89
1,36,117.16
1,37,102.74
1,38,109.88
1,39,208
1,40,166.83
1,41,150.64
1,42,147.58
1,43,124.3
1,44,121.47
1,45,65.56
1,46,4.55
1,47,18.26
1,48,67.08
1,49,102.44
1,50,116.63
1,51,86.38
1,52,134.37
1,53,144.26
2,1,192.24
2,2,176.54
2,3,180.84
2,4,18.63
2,5,141.63
2,6,190.93
2,7,51.45
2,8,179.8
2,9,94
2,10,101.61
2,11,195.59
2,12,79.92
2,13,117.25
2,14,24.03
2,15,67.45
2,16,77.88
2,17,90.58
2,18,52.87
2,19,44.55
2,20,47.72
2,21,75.48
2,22,88.6
2,23,73.24
2,24,81.18
2,25,168.08
2,26,168.14
2,27,127.42
2,28,135.26
2,29,53.21
2,30,153.56
2,31,119.73
2,32,92.26
2,33,216.87
2,34,261.59
2,35,128.45
2,36,117.72
2,37,103.31
2,38,109.5
2,39,208.56
2,40,167.4
2,41,151.2
2,42,148.14
2,43,124.86
2,44,122.03
2,45,66.13
2,46,5.75
2,47,17.88
2,48,66.71
2,49,102.06
2,50,117.2
2,51,86.95
2,52,134.94
2,53,144.83
3,1,199.03
3,2,173.11
3,3,184.01
3,4,18.79
3,5,138.21
3,6,187.5
3,7,48.03
3,8,176.38
3,9,90.57
3,10,98.19
3,11,192.16
3,12,86.72
3,13,124.05
3,14,34.26
3,15,64.03
3,16,74.45
3,17,87.15
3,18,49.45
3,19,41.13
3,20,44.3
3,21,72.06
3,22,85.18
3,23,69.82
3,24,77.76
3,25,164.66
3,26,164.72
3,27,124
3,28,131.84
3,29,49.78
3,30,150.13
3,31,116.3
3,32,88.84
3,33,223.66
3,34,258.16
3,35,125.03
3,36,114.3
3,37,99.89
3,38,116.3
3,39,205.14
3,40,163.97
3,41,147.78
3,42,144.72
3,43,121.44
3,44,118.61
3,45,62.7
3,46,9.11
3,47,24.68
3,48,73.5
3,49,108.86
3,50,113.77
3,51,83.53
3,52,131.52
3,53,141.4
4,1,193.96
4,2,174.7
4,3,175.9
4,4,11.68
4,5,139.8
4,6,189.09
4,7,49.62
4,8,177.97
4,9,92.16
4,10,99.78
4,11,193.75
4,12,81.23
4,13,118.97
4,14,28.77
4,15,65.62
4,16,76.04
4,17,88.74
4,18,51.04
4,19,42.72
4,20,45.89
4,21,73.65
4,22,86.77
4,23,71.41
4,24,79.35
4,25,166.25
4,26,166.31
4,27,125.59
4,28,133.43
4,29,51.37
4,30,151.72
4,31,117.89
4,32,90.43
4,33,218.59
4,34,259.75
4,35,126.62
4,36,115.89
4,37,101.48
4,38,111.23
4,39,206.73
4,40,165.56
4,41,149.37
4,42,146.31
4,43,123.03
4,44,120.2
4,45,64.29
4,46,0.92
4,47,19.19
4,48,68.02
4,49,103.37
4,50,115.36
4,51,85.12
4,52,133.11
4,53,142.99
5,1,192.9
5,2,175.67
5,3,174.84
5,4,10.31
5,5,140.77
5,6,190.06
5,7,50.59
5,8,178.94
5,9,93.13
5,10,100.75
5,11,194.72
5,12,78.64
5,13,117.92
5,14,26.19
5,15,66.59
5,16,77.01
5,17,89.71
5,18,52.01
5,19,43.69
5,20,46.86
5,21,74.62
5,22,87.74
5,23,72.38
5,24,80.32
5,25,167.22
5,26,167.28
5,27,126.55
5,28,134.4
5,29,52.34
5,30,152.69
5,31,118.86
5,32,91.4
5,33,217.53
5,34,260.72
5,35,127.59
5,36,116.86
5,37,102.44
5,38,110.17
5,39,207.7
5,40,166.53
5,41,150.34
5,42,147.28
5,43,124
5,44,121.17
5,45,65.26
5,46,2.94
5,47,16.61
5,48,65.43
5,49,103.59
5,50,116.33
5,51,86.09
5,52,134.08
5,53,143.96
6,1,192.25
6,2,177.3
6,3,177.74
6,4,17.16
6,5,142.39
6,6,191.68
6,7,52.21
6,8,180.56
6,9,94.75
6,10,102.37
6,11,196.35
6,12,79.94
6,13,117.26
6,14,27.48
6,15,68.21
6,16,78.64
6,17,91.33
6,18,53.63
6,19,45.31
6,20,48.48
6,21,76.24
6,22,89.36
6,23,74
6,24,81.94
6,25,168.84
6,26,168.9
6,27,128.18
6,28,136.02
6,29,53.97
6,30,154.32
6,31,120.48
6,32,93.02
6,33,216.88
6,34,262.34
6,35,129.21
6,36,118.48
6,37,104.07
6,38,109.52
6,39,209.32
6,40,168.15
6,41,151.96
6,42,148.9
6,43,125.62
6,44,122.79
6,45,66.88
6,46,4.71
6,47,17.9
6,48,66.72
6,49,102.08
6,50,117.96
6,51,87.71
6,52,135.7
6,53,145.58
7,1,190.23
7,2,177.98
7,3,177.97
7,4,17.39
7,5,143.08
7,6,192.37
7,7,52.9
7,8,181.25
7,9,95.44
7,10,103.06
7,11,197.04
7,12,77.91
7,13,115.24
7,14,25.45
7,15,68.9
7,16,79.33
7,17,92.02
7,18,54.32
7,19,46
7,20,49.17
7,21,76.93
7,22,90.05
7,23,74.69
7,24,82.63
7,25,169.53
7,26,169.59
7,27,128.87
7,28,136.71
7,29,54.66
7,30,155.01
7,31,121.17
7,32,93.71
7,33,214.85
7,34,263.03
7,35,129.9
7,36,119.17
7,37,104.76
7,38,107.49
7,39,210.01
7,40,168.84
7,41,152.65
7,42,149.59
7,43,126.31
7,44,123.48
7,45,67.57
7,46,6.22
7,47,15.87
7,48,64.7
7,49,100.05
7,50,118.65
7,51,88.4
7,52,136.39
7,53,146.27
8,1,188.86
8,2,182.46
8,3,183.08
8,4,20.02
8,5,147.55
8,6,196.84
8,7,57.37
8,8,185.72
8,9,99.92
8,10,107.53
8,11,201.51
8,12,76.55
8,13,113.88
8,14,17.04
8,15,73.37
8,16,83.8
8,17,96.5
8,18,58.79
8,19,50.47
8,20,53.64
8,21,81.4
8,22,94.52
8,23,79.16
8,24,87.1
8,25,174
8,26,174.06
8,27,133.34
8,28,141.18
8,29,59.13
8,30,159.48
8,31,125.65
8,32,98.18
8,33,213.49
8,34,267.5
8,35,134.37
8,36,123.64
8,37,109.23
8,38,106.13
8,39,214.48
8,40,173.32
8,41,157.12
8,42,154.06
8,43,130.78
8,44,127.95
8,45,72.04
8,46,11.14
8,47,14.51
8,48,63.33
8,49,98.69
8,50,123.12
8,51,92.87
8,52,140.86
8,53,150.74
9,1,190.79
9,2,181.05
9,3,185
9,4,21.95
9,5,146.14
9,6,195.43
9,7,55.96
9,8,184.31
9,9,98.51
9,10,106.12
9,11,200.1
9,12,78.48
9,13,115.81
9,14,20.59
9,15,71.96
9,16,82.39
9,17,95.09
9,18,57.38
9,19,49.06
9,20,52.23
9,21,79.99
9,22,93.11
9,23,77.75
9,24,85.69
9,25,172.59
9,26,172.65
9,27,131.93
9,28,139.77
9,29,57.72
9,30,158.07
9,31,124.24
9,32,96.77
9,33,215.42
9,34,266.09
9,35,132.96
9,36,122.23
9,37,107.82
9,38,108.06
9,39,213.07
9,40,171.91
9,41,155.71
9,42,152.65
9,43,129.37
9,44,126.54
9,45,70.63
9,46,9.28
9,47,16.44
9,48,65.26
9,49,100.62
9,50,121.71
9,51,91.46
9,52,139.45
9,53,149.33
10,1,189.99
10,2,182.15
10,3,184.2
10,4,27.05
10,5,147.25
10,6,196.54
10,7,57.07
10,8,185.42
10,9,99.61
10,10,107.23
10,11,201.21
10,12,77.68
10,13,115.01
10,14,20.32
10,15,73.07
10,16,83.49
10,17,96.19
10,18,58.49
10,19,50.17
10,20,53.34
10,21,81.1
10,22,94.22
10,23,78.86
10,24,86.8
10,25,173.7
10,26,173.76
10,27,133.04
10,28,140.88
10,29,58.82
10,30,159.17
10,31,125.34
10,32,97.88
10,33,214.62
10,34,267.2
10,35,134.07
10,36,123.34
10,37,108.93
10,38,107.26
10,39,214.18
10,40,173.01
10,41,156.82
10,42,153.76
10,43,130.48
10,44,127.65
10,45,71.74
10,46,18.21
10,47,22.4
10,48,64.46
10,49,99.82
10,50,122.81
10,51,92.57
10,52,140.56
10,53,150.44
11,1,190.76
11,2,178.4
11,3,184.97
11,4,19.19
11,5,143.5
11,6,192.79
11,7,53.32
11,8,181.67
11,9,95.86
11,10,103.48
11,11,197.45
11,12,78.44
11,13,115.77
11,14,22.97
11,15,69.32
11,16,79.74
11,17,92.44
11,18,54.74
11,19,46.42
11,20,49.59
11,21,77.35
11,22,90.47
11,23,75.11
11,24,83.05
11,25,169.95
11,26,170.01
11,27,129.28
11,28,137.13
11,29,55.07
11,30,155.42
11,31,121.59
11,32,94.13
11,33,215.39
11,34,263.45
11,35,130.32
11,36,119.59
11,37,105.17
11,38,108.02
11,39,210.43
11,40,169.26
11,41,153.07
11,42,150.01
11,43,126.73
11,44,123.9
11,45,67.99
11,46,7.56
11,47,16.4
11,48,65.23
11,49,100.58
11,50,119.06
11,51,88.82
11,52,136.81
11,53,146.69
12,1,190.88
12,2,177.62
12,3,185.09
12,4,18.48
12,5,142.72
12,6,192.01
12,7,52.54
12,8,180.89
12,9,95.08
12,10,102.7
12,11,196.67
12,12,78.56
12,13,115.89
12,14,23.37
12,15,68.54
12,16,78.96
12,17,91.66
12,18,53.95
12,19,45.64
12,20,48.81
12,21,76.57
12,22,89.69
12,23,74.32
12,24,82.27
12,25,169.17
12,26,169.22
12,27,128.5
12,28,136.35
12,29,54.29
12,30,154.64
12,31,120.81
12,32,93.34
12,33,215.5
12,34,262.67
12,35,129.54
12,36,118.81
12,37,104.39
12,38,108.14
12,39,209.65
12,40,168.48
12,41,152.29
12,42,149.23
12,43,125.95
12,44,123.12
12,45,67.21
12,46,6.4
12,47,16.52
12,48,65.35
12,49,100.7
12,50,118.28
12,51,88.03
12,52,136.02
12,53,145.91
13,1,206.04
13,2,149.24
13,3,174.01
13,4,21.62
13,5,114.34
13,6,163.63
13,7,24.16
13,8,152.51
13,9,66.7
13,10,74.32
13,11,168.29
13,12,105.51
13,13,120.9
13,14,53.05
13,15,40.16
13,16,50.58
13,17,63.28
13,18,25.57
13,19,17.25
13,20,20.43
13,21,48.19
13,22,61.31
13,23,45.94
13,24,53.89
13,25,140.79
13,26,140.84
13,27,100.12
13,28,107.97
13,29,25.91
13,30,126.26
13,31,92.43
13,32,64.96
13,33,230.67
13,34,234.29
13,35,101.16
13,36,90.42
13,37,76.01
13,38,113.15
13,39,181.27
13,40,140.1
13,41,123.91
13,42,120.85
13,43,97.57
13,44,94.74
13,45,38.83
13,46,27.9
13,47,43.47
13,48,92.29
13,49,106.57
13,50,89.9
13,51,59.65
13,52,107.64
13,53,117.53
14,1,183.51
14,2,168.39
14,3,165.45
14,4,1.57
14,5,133.48
14,6,182.77
14,7,46.48
14,8,171.65
14,9,85.85
14,10,93.46
14,11,187.44
14,12,81.84
14,13,108.52
14,14,29.38
14,15,59.3
14,16,69.73
14,17,82.43
14,18,44.72
14,19,36.4
14,20,40.97
14,21,67.33
14,22,80.45
14,23,65.09
14,24,73.03
14,25,159.93
14,26,159.99
14,27,119.27
14,28,127.11
14,29,45.06
14,30,145.41
14,31,111.57
14,32,84.11
14,33,208.14
14,34,253.43
14,35,120.3
14,36,109.57
14,37,95.16
14,38,100.77
14,39,200.41
14,40,159.24
14,41,143.05
14,42,139.99
14,43,116.71
14,44,113.88
14,45,57.97
14,46,13.54
14,47,19.8
14,48,68.63
14,49,94.19
14,50,109.05
14,51,78.8
14,52,126.79
14,53,136.67
15,1,188.69
15,2,179.11
15,3,170.62
15,4,11.59
15,5,144.2
15,6,193.5
15,7,54.02
15,8,182.37
15,9,96.57
15,10,104.18
15,11,198.16
15,12,74.43
15,13,113.7
15,14,21.97
15,15,70.02
15,16,80.45
15,17,93.15
15,18,55.44
15,19,47.12
15,20,50.3
15,21,78.05
15,22,91.18
15,23,75.81
15,24,83.76
15,25,170.65
15,26,170.71
15,27,129.99
15,28,137.83
15,29,55.78
15,30,156.13
15,31,122.3
15,32,94.83
15,33,213.31
15,34,264.16
15,35,131.02
15,36,120.29
15,37,105.88
15,38,105.95
15,39,211.13
15,40,169.97
15,41,153.77
15,42,150.71
15,43,127.44
15,44,124.6
15,45,68.7
15,46,6.09
15,47,12.39
15,48,61.21
15,49,99.37
15,50,119.77
15,51,89.52
15,52,137.51
15,53,147.4
16,1,171.76
16,2,160.1
16,3,153.7
16,4,19.26
16,5,146.88
16,6,196.18
16,7,59.88
16,8,185.05
16,9,99.25
16,10,106.86
16,11,200.84
16,12,62.26
16,13,96.77
16,14,24.43
16,15,72.7
16,16,83.13
16,17,95.83
16,18,58.12
16,19,49.8
16,20,54.37
16,21,80.73
16,22,93.86
16,23,78.49
16,24,86.43
16,25,173.33
16,26,173.39
16,27,132.67
16,28,140.51
16,29,58.46
16,30,158.81
16,31,124.98
16,32,97.51
16,33,196.38
16,34,253.57
16,35,133.7
16,36,122.97
16,37,108.56
16,38,89.02
16,39,213.81
16,40,172.65
16,41,156.45
16,42,153.39
16,43,130.11
16,44,127.28
16,45,71.38
16,46,25.26
16,47,20.12
16,48,49.05
16,49,82.44
16,50,122.45
16,51,92.2
16,52,140.19
16,53,150.08
17,1,168.02
17,2,149.4
17,3,149.96
17,4,15.86
17,5,138.37
17,6,187.67
17,7,51.37
17,8,176.54
17,9,90.74
17,10,98.35
17,11,192.33
17,12,70.73
17,13,93.03
17,14,41.48
17,15,64.19
17,16,74.62
17,17,87.32
17,18,49.61
17,19,41.29
17,20,45.86
17,21,72.22
17,22,85.34
17,23,66.85
17,24,77.92
17,25,164.82
17,26,164.88
17,27,124.16
17,28,132
17,29,49.95
17,30,150.3
17,31,116.47
17,32,89
17,33,192.65
17,34,242.87
17,35,125.19
17,36,114.46
17,37,100.05
17,38,85.29
17,39,205.3
17,40,164.14
17,41,147.94
17,42,144.88
17,43,121.6
17,44,118.77
17,45,62.86
17,46,26.36
17,47,31.9
17,48,60.82
17,49,78.71
17,50,113.94
17,51,83.69
17,52,131.68
17,53,141.56
18,1,160.74
18,2,132.32
18,3,142.68
18,4,30.09
18,5,117.47
18,6,166.77
18,7,65.8
18,8,164.52
18,9,67.62
18,10,92.19
18,11,171.43
18,12,63.46
18,13,85.76
18,14,54.16
18,15,57.79
18,16,58.31
18,17,85.07
18,18,64.04
18,19,55.72
18,20,60.3
18,21,74.94
18,22,66.35
18,23,49.77
18,24,66.97
18,25,152.8
18,26,152.85
18,27,112.96
18,28,111.1
18,29,58.45
18,30,129.4
18,31,104.44
18,32,86.75
18,33,185.37
18,34,225.79
18,35,113.17
18,36,93.84
18,37,79.15
18,38,78.01
18,39,184.4
18,40,143.24
18,41,127.04
18,42,123.98
18,43,109.58
18,44,100.55
18,45,62.03
18,46,40.8
18,47,44.58
18,48,61.84
18,49,71.43
18,50,93.04
18,51,62.17
18,52,119.65
18,53,128.56
19,1,153.12
19,2,146.54
19,3,135.06
19,4,32.22
19,5,131.68
19,6,180.98
19,7,68.54
19,8,178.73
19,9,81.83
19,10,115.53
19,11,185.64
19,12,55.84
19,13,78.14
19,14,44.59
19,15,81.37
19,16,72.53
19,17,104.49
19,18,66.78
19,19,58.47
19,20,63.04
19,21,89.4
19,22,80.57
19,23,63.99
19,24,95.1
19,25,167.01
19,26,167.07
19,27,127.17
19,28,125.31
19,29,67.12
19,30,143.61
19,31,118.66
19,32,106.17
19,33,177.75
19,34,240.01
19,35,127.38
19,36,108.05
19,37,93.36
19,38,70.39
19,39,198.62
19,40,157.45
19,41,141.25
19,42,138.2
19,43,123.79
19,44,114.76
19,45,80.04
19,46,43.11
19,47,37.98
19,48,54.22
19,49,63.81
19,50,107.25
19,51,76.38
19,52,133.87
19,53,142.77
20,1,140.6
20,2,154.35
20,3,125.82
20,4,56.64
20,5,144.6
20,6,193.9
20,7,92.96
20,8,191.65
20,9,94.75
20,10,119.32
20,11,198.56
20,12,29.45
20,13,65.61
20,14,45.71
20,15,84.92
20,16,85.44
20,17,112.2
20,18,91.2
20,19,82.88
20,20,87.45
20,21,113.81
20,22,93.48
20,23,76.9
20,24,94.1
20,25,179.93
20,26,179.99
20,27,140.09
20,28,138.23
20,29,91.54
20,30,156.53
20,31,131.57
20,32,113.88
20,33,165.23
20,34,243.35
20,35,140.3
20,36,120.97
20,37,106.28
20,38,57.87
20,39,211.53
20,40,170.37
20,41,154.17
20,42,151.11
20,43,136.71
20,44,127.68
20,45,89.16
20,46,67.87
20,47,49.44
20,48,28.44
20,49,51.28
20,50,120.17
20,51,89.3
20,52,146.78
20,53,155.69
21,1,134.46
21,2,157.61
21,3,129.07
21,4,62.27
21,5,172.2
21,6,221.49
21,7,107.58
21,8,222.02
21,9,122.34
21,10,149.69
21,11,226.16
21,12,22.28
21,13,59.47
21,14,39.19
21,15,123.58
21,16,103.46
21,17,146.7
21,18,109
21,19,100.68
21,20,103.85
21,21,131.61
21,22,122.21
21,23,94.92
21,24,128.38
21,25,210.3
21,26,210.35
21,27,167.69
21,28,165.83
21,29,109.34
21,30,184.13
21,31,161.94
21,32,148.39
21,33,159.09
21,34,246.6
21,35,170.67
21,36,148.56
21,37,133.88
21,38,51.73
21,39,239.13
21,40,197.96
21,41,181.77
21,42,178.71
21,43,167.08
21,44,155.28
21,45,122.25
21,46,61.35
21,47,42.92
21,48,14.43
21,49,44.29
21,50,147.77
21,51,118.2
21,52,177.15
21,53,183.29
22,1,201.86
22,2,163.52
22,3,188.29
22,4,17.14
22,5,128.62
22,6,177.91
22,7,38.44
22,8,166.79
22,9,80.98
22,10,88.6
22,11,182.57
22,12,89.55
22,13,126.88
22,14,37.09
22,15,54.44
22,16,64.86
22,17,77.56
22,18,39.85
22,19,31.53
22,20,34.71
22,21,62.47
22,22,75.59
22,23,60.22
22,24,68.17
22,25,155.07
22,26,155.12
22,27,114.4
22,28,122.25
22,29,40.19
22,30,140.54
22,31,106.71
22,32,79.24
22,33,226.49
22,34,248.57
22,35,115.44
22,36,104.7
22,37,90.29
22,38,119.13
22,39,195.55
22,40,154.38
22,41,138.18
22,42,135.13
22,43,111.85
22,44,109.02
22,45,53.11
22,46,11.94
22,47,27.51
22,48,76.33
22,49,111.69
22,50,104.18
22,51,73.93
22,52,121.92
22,53,131.81
23,1,185.87
23,2,199.43
23,3,180.09
23,4,36.96
23,5,164.53
23,6,213.82
23,7,74.35
23,8,202.7
