"Candidates","Suppliers","CostCandidateSupplier"
1,1,0.071266
1,2,0.065109
1,3,0.258682
1,4,0.026006
1,5,0.203141
1,6,0.274118
1,7,0.018829
1,8,0.258106
1,9,0.034569
1,10,0.037388
1,11,0.072157
1,12,0.115632
1,13,0.169387
1,14,0.04009
1,15,0.096322
1,16,0.028605
1,17,0.129614
1,18,0.075312
1,19,0.063346
1,20,0.06791
1,21,0.02772
1,22,0.126778
1,23,0.026888
1,24,0.116093
1,25,0.241229
1,26,0.062001
1,27,0.046934
1,28,0.049839
1,29,0.075802
1,30,0.056606
1,31,0.17159
1,32,0.132034
1,33,0.312826
1,34,0.375869
1,35,0.047319
1,36,0.043349
1,37,0.147946
1,38,0.158227
1,39,0.29952
1,40,0.061727
1,41,0.216922
1,42,0.212515
1,43,0.045991
1,44,0.174917
1,45,0.094406
1,46,0.001684
1,47,0.026294
1,48,0.02482
1,49,0.147514
1,50,0.167947
1,51,0.124387
1,52,0.049717
1,53,0.207734
2,1,0.071129
2,2,0.06532
2,3,0.26041
2,4,0.026827
2,5,0.203947
2,6,0.274939
2,7,0.019037
2,8,0.258912
2,9,0.03478
2,10,0.037596
2,11,0.072368
2,12,0.115085
2,13,0.16884
2,14,0.034603
2,15,0.097128
2,16,0.028816
2,17,0.130435
2,18,0.076133
2,19,0.064152
2,20,0.068717
2,21,0.027928
2,22,0.127584
2,23,0.027099
2,24,0.116899
2,25,0.242035
2,26,0.062212
2,27,0.047145
2,28,0.050046
2,29,0.076622
2,30,0.056817
2,31,0.172411
2,32,0.132854
2,33,0.312293
2,34,0.37669
2,35,0.047526
2,36,0.043556
2,37,0.148766
2,38,0.15768
2,39,0.300326
2,40,0.061938
2,41,0.217728
2,42,0.213322
2,43,0.046198
2,44,0.175723
2,45,0.095227
2,46,0.002128
2,47,0.025747
2,48,0.024683
2,49,0.146966
2,50,0.168768
2,51,0.125208
2,52,0.049928
2,53,0.208555
3,1,0.073641
3,2,0.064051
3,3,0.264974
3,4,0.027058
3,5,0.199022
3,6,0.27
3,7,0.017771
3,8,0.253987
3,9,0.033511
3,10,0.03633
3,11,0.071099
3,12,0.124877
3,13,0.178632
3,14,0.049334
3,15,0.092203
3,16,0.027547
3,17,0.125496
3,18,0.071208
3,19,0.059227
3,20,0.063792
3,21,0.026662
3,22,0.122659
3,23,0.025833
3,24,0.111974
3,25,0.23711
3,26,0.060946
3,27,0.04588
3,28,0.048781
3,29,0.071683
3,30,0.055548
3,31,0.167472
3,32,0.12793
3,33,0.32207
3,34,0.37175
3,35,0.046261
3,36,0.042291
3,37,0.143842
3,38,0.167472
3,39,0.295402
3,40,0.060669
3,41,0.212803
3,42,0.208397
3,43,0.044933
3,44,0.170798
3,45,0.090288
3,46,0.003371
3,47,0.035539
3,48,0.027195
3,49,0.156758
3,50,0.163829
3,51,0.120283
3,52,0.048662
3,53,0.203616
4,1,0.071765
4,2,0.064639
4,3,0.253296
4,4,0.016819
4,5,0.201312
4,6,0.27229
4,7,0.018359
4,8,0.256277
4,9,0.034099
4,10,0.036919
4,11,0.071688
4,12,0.116971
4,13,0.171317
4,14,0.041429
4,15,0.094493
4,16,0.028135
4,17,0.127786
4,18,0.073498
4,19,0.061517
4,20,0.066082
4,21,0.027251
4,22,0.124949
4,23,0.026422
4,24,0.114264
4,25,0.2394
4,26,0.061535
4,27,0.046468
4,28,0.049369
4,29,0.073973
4,30,0.056136
4,31,0.169762
4,32,0.130219
4,33,0.31477
4,34,0.37404
4,35,0.046849
4,36,0.042879
4,37,0.146131
4,38,0.160171
4,39,0.297691
4,40,0.061257
4,41,0.215093
4,42,0.210686
4,43,0.045521
4,44,0.173088
4,45,0.092578
4,46,0.00034
4,47,0.027634
4,48,0.025167
4,49,0.148853
4,50,0.166118
4,51,0.122573
4,52,0.049251
4,53,0.205906
5,1,0.071373
5,2,0.064998
5,3,0.25177
5,4,0.014846
5,5,0.202709
5,6,0.273686
5,7,0.018718
5,8,0.257674
5,9,0.034458
5,10,0.037277
5,11,0.072046
5,12,0.113242
5,13,0.169805
5,14,0.037714
5,15,0.09589
5,16,0.028494
5,17,0.129182
5,18,0.074894
5,19,0.062914
5,20,0.067478
5,21,0.027609
5,22,0.126346
5,23,0.026781
5,24,0.115661
5,25,0.240797
5,26,0.061894
5,27,0.046823
5,28,0.049728
5,29,0.07537
5,30,0.056495
5,31,0.171158
5,32,0.131616
5,33,0.313243
5,34,0.375437
5,35,0.047208
5,36,0.043238
5,37,0.147514
5,38,0.158645
5,39,0.299088
5,40,0.061616
5,41,0.21649
5,42,0.212083
5,43,0.04588
5,44,0.174485
5,45,0.093974
5,46,0.001088
5,47,0.023918
5,48,0.024209
5,49,0.14917
5,50,0.167515
5,51,0.12397
5,52,0.04961
5,53,0.207302
6,1,0.071132
6,2,0.065601
6,3,0.255946
6,4,0.02471
6,5,0.205042
6,6,0.276019
6,7,0.019318
6,8,0.260006
6,9,0.035057
6,10,0.037877
6,11,0.07265
6,12,0.115114
6,13,0.168854
6,14,0.039571
6,15,0.098222
6,16,0.029097
6,17,0.131515
6,18,0.077227
6,19,0.065246
6,20,0.069811
6,21,0.028209
6,22,0.128678
6,23,0.02738
6,24,0.117994
6,25,0.24313
6,26,0.062493
6,27,0.047427
6,28,0.050327
6,29,0.077717
6,30,0.057098
6,31,0.173491
6,32,0.133949
6,33,0.312307
6,34,0.37777
6,35,0.047808
6,36,0.043838
6,37,0.149861
6,38,0.157709
6,39,0.301421
6,40,0.062215
6,41,0.218822
6,42,0.214416
6,43,0.046479
6,44,0.176818
6,45,0.096307
6,46,0.001743
6,47,0.025776
6,48,0.024686
6,49,0.146995
6,50,0.169862
6,51,0.126302
6,52,0.050209
6,53,0.209635
7,1,0.070385
7,2,0.065853
7,3,0.256277
7,4,0.025042
7,5,0.206035
7,6,0.277013
7,7,0.019573
7,8,0.261
7,9,0.035313
7,10,0.038132
7,11,0.072905
7,12,0.11219
7,13,0.165946
7,14,0.036648
7,15,0.099216
7,16,0.029352
7,17,0.132509
7,18,0.078221
7,19,0.06624
7,20,0.070805
7,21,0.028464
7,22,0.129672
7,23,0.027635
7,24,0.118987
7,25,0.244123
7,26,0.062748
7,27,0.047682
7,28,0.050583
7,29,0.07871
7,30,0.057354
7,31,0.174485
7,32,0.134942
7,33,0.309384
7,34,0.378763
7,35,0.048063
7,36,0.044093
7,37,0.150854
7,38,0.154786
7,39,0.302414
7,40,0.062471
7,41,0.219816
7,42,0.21541
7,43,0.046735
7,44,0.177811
7,45,0.097301
7,46,0.002301
7,47,0.022853
7,48,0.023939
7,49,0.144072
7,50,0.170856
7,51,0.127296
7,52,0.050464
7,53,0.210629
8,1,0.069878
8,2,0.06751
8,3,0.263635
8,4,0.028829
8,5,0.212472
8,6,0.28345
8,7,0.021227
8,8,0.267437
8,9,0.03697
8,10,0.039786
8,11,0.074559
8,12,0.110232
8,13,0.163987
8,14,0.024538
8,15,0.105653
8,16,0.031006
8,17,0.13896
8,18,0.084658
8,19,0.072677
8,20,0.077242
8,21,0.030118
8,22,0.136109
8,23,0.029289
8,24,0.125424
8,25,0.25056
8,26,0.064402
8,27,0.049336
8,28,0.052237
8,29,0.085147
8,30,0.059008
8,31,0.180936
8,32,0.141379
8,33,0.307426
8,34,0.3852
8,35,0.049717
8,36,0.045747
8,37,0.157291
8,38,0.152827
8,39,0.308851
8,40,0.064128
8,41,0.226253
8,42,0.221846
8,43,0.048389
8,44,0.184248
8,45,0.103738
8,46,0.004122
8,47,0.020894
8,48,0.023432
8,49,0.142114
8,50,0.177293
8,51,0.133733
8,52,0.052118
8,53,0.217066
9,1,0.070592
9,2,0.066989
9,3,0.2664
9,4,0.031608
9,5,0.210442
9,6,0.281419
9,7,0.020705
9,8,0.265406
9,9,0.036449
9,10,0.039264
9,11,0.074037
9,12,0.113011
9,13,0.166766
9,14,0.02965
9,15,0.103622
9,16,0.030484
9,17,0.13693
9,18,0.082627
9,19,0.070646
9,20,0.075211
9,21,0.029596
9,22,0.134078
9,23,0.028767
9,24,0.123394
9,25,0.24853
9,26,0.06388
9,27,0.048814
9,28,0.051715
9,29,0.083117
9,30,0.058486
9,31,0.178906
9,32,0.139349
9,33,0.310205
9,34,0.38317
9,35,0.049195
9,36,0.045225
9,37,0.155261
9,38,0.155606
9,39,0.306821
9,40,0.063607
9,41,0.224222
9,42,0.219816
9,43,0.047867
9,44,0.182218
9,45,0.101707
9,46,0.003434
9,47,0.023674
9,48,0.024146
9,49,0.144893
9,50,0.175262
9,51,0.131702
9,52,0.051596
9,53,0.215035
10,1,0.070296
10,2,0.067395
10,3,0.265248
10,4,0.038952
10,5,0.21204
10,6,0.283018
10,7,0.021116
10,8,0.267005
10,9,0.036856
10,10,0.039675
10,11,0.074448
10,12,0.111859
10,13,0.165614
10,14,0.029261
10,15,0.105221
10,16,0.030891
10,17,0.138514
10,18,0.084226
10,19,0.072245
10,20,0.07681
10,21,0.030007
10,22,0.135677
10,23,0.029178
10,24,0.124992
10,25,0.250128
10,26,0.064291
10,27,0.049225
10,28,0.052126
10,29,0.084701
10,30,0.058893
10,31,0.18049
10,32,0.140947
10,33,0.309053
10,34,0.384768
10,35,0.049606
10,36,0.045636
10,37,0.156859
10,38,0.154454
10,39,0.308419
10,40,0.064014
10,41,0.225821
10,42,0.221414
10,43,0.048278
10,44,0.183816
10,45,0.103306
10,46,0.006738
10,47,0.032256
10,48,0.02385
10,49,0.143741
10,50,0.176846
10,51,0.133301
10,52,0.052007
10,53,0.216634
11,1,0.070581
11,2,0.066008
11,3,0.266357
11,4,0.027634
11,5,0.20664
11,6,0.277618
11,7,0.019728
11,8,0.261605
11,9,0.035468
11,10,0.038288
11,11,0.073056
11,12,0.112954
11,13,0.166709
11,14,0.033077
11,15,0.099821
11,16,0.029504
11,17,0.133114
11,18,0.078826
11,19,0.066845
11,20,0.07141
11,21,0.028619
11,22,0.130277
11,23,0.027791
11,24,0.119592
11,25,0.244728
11,26,0.062904
11,27,0.047834
11,28,0.050738
11,29,0.079301
11,30,0.057505
11,31,0.17509
11,32,0.135547
11,33,0.310162
11,34,0.379368
11,35,0.048218
11,36,0.044248
11,37,0.151445
11,38,0.155549
11,39,0.303019
11,40,0.062626
11,41,0.220421
11,42,0.216014
11,43,0.04689
11,44,0.178416
11,45,0.097906
11,46,0.002797
11,47,0.023616
11,48,0.024135
11,49,0.144835
11,50,0.171446
11,51,0.127901
11,52,0.05062
11,53,0.211234
12,1,0.070626
12,2,0.065719
12,3,0.26653
12,4,0.026611
12,5,0.205517
12,6,0.276494
12,7,0.01944
12,8,0.260482
12,9,0.03518
12,10,0.037999
12,11,0.072768
12,12,0.113126
12,13,0.166882
12,14,0.033653
12,15,0.098698
12,16,0.029215
12,17,0.13199
12,18,0.077688
12,19,0.065722
12,20,0.070286
12,21,0.028331
12,22,0.129154
12,23,0.027498
12,24,0.118469
12,25,0.243605
12,26,0.062611
12,27,0.047545
12,28,0.05045
12,29,0.078178
12,30,0.057217
12,31,0.173966
12,32,0.13441
12,33,0.31032
12,34,0.378245
12,35,0.04793
12,36,0.04396
12,37,0.150322
12,38,0.155722
12,39,0.301896
12,40,0.062338
12,41,0.219298
12,42,0.214891
12,43,0.046602
12,44,0.177293
12,45,0.096782
12,46,0.002368
12,47,0.023789
12,48,0.024179
12,49,0.145008
12,50,0.170323
12,51,0.126763
12,52,0.050327
12,53,0.21011
13,1,0.076235
13,2,0.055219
13,3,0.250574
13,4,0.031133
13,5,0.16465
13,6,0.235627
13,7,0.008939
13,8,0.219614
13,9,0.024679
13,10,0.027498
13,11,0.062267
13,12,0.151934
13,13,0.174096
13,14,0.076392
13,15,0.05783
13,16,0.018715
13,17,0.091123
13,18,0.036821
13,19,0.02484
13,20,0.029419
13,21,0.01783
13,22,0.088286
13,23,0.016998
13,24,0.077602
13,25,0.202738
13,26,0.052111
13,27,0.037044
13,28,0.039949
13,29,0.03731
13,30,0.046716
13,31,0.133099
13,32,0.093542
13,33,0.332165
13,34,0.337378
13,35,0.037429
13,36,0.033455
13,37,0.109454
13,38,0.162936
13,39,0.261029
13,40,0.051837
13,41,0.17843
13,42,0.174024
13,43,0.036101
13,44,0.136426
13,45,0.055915
13,46,0.010323
13,47,0.062597
13,48,0.034147
13,49,0.153461
13,50,0.129456
13,51,0.085896
13,52,0.039827
13,53,0.169243
14,1,0.067899
14,2,0.062304
14,3,0.238248
14,4,0.002261
14,5,0.192211
14,6,0.263189
14,7,0.017198
14,8,0.247176
14,9,0.031765
14,10,0.03458
14,11,0.069353
14,12,0.11785
14,13,0.156269
14,14,0.042307
14,15,0.085392
14,16,0.0258
14,17,0.118699
14,18,0.064397
14,19,0.052416
14,20,0.058997
14,21,0.024912
14,22,0.115848
14,23,0.024083
14,24,0.105163
14,25,0.230299
14,26,0.059196
14,27,0.04413
14,28,0.047031
14,29,0.064886
14,30,0.053802
14,31,0.160661
14,32,0.121118
14,33,0.299722
14,34,0.364939
14,35,0.044511
14,36,0.040541
14,37,0.13703
14,38,0.145109
14,39,0.28859
14,40,0.058919
14,41,0.205992
14,42,0.201586
14,43,0.043183
14,44,0.163987
14,45,0.083477
14,46,0.00501
14,47,0.028512
14,48,0.025393
14,49,0.135634
14,50,0.157032
14,51,0.113472
14,52,0.046912
14,53,0.196805
15,1,0.069815
15,2,0.066271
15,3,0.245693
15,4,0.01669
15,5,0.207648
15,6,0.27864
15,7,0.019987
15,8,0.262613
15,9,0.035731
15,10,0.038547
15,11,0.073319
15,12,0.107179
15,13,0.163728
15,14,0.031637
15,15,0.100829
15,16,0.029767
15,17,0.134136
15,18,0.079834
15,19,0.067853
15,20,0.072432
15,21,0.028878
15,22,0.131299
