"Customers","Products","Periods","DemandPeriods"
1,1,1,555
1,1,2,1308
1,1,3,2152
1,1,4,2855
1,1,5,3143
1,1,6,4160
1,1,7,4411
1,1,8,4870
1,1,9,5907
1,1,10,6440
1,2,1,1204
1,2,2,2174
1,2,3,2693
1,2,4,4147
1,2,5,5535
1,2,6,6192
1,2,7,6902
1,2,8,8780
1,2,9,9349
1,2,10,10478
1,3,1,1187
1,3,2,1920
1,3,3,3351
1,3,4,4760
1,3,5,4732
1,3,6,6048
1,3,7,6905
1,3,8,8988
1,3,9,9391
1,3,10,10681
1,4,1,261
1,4,2,702
1,4,3,891
1,4,4,1369
1,4,5,1610
1,4,6,1896
1,4,7,2025
1,4,8,2355
1,4,9,2783
1,4,10,3058
2,1,1,1728
2,1,2,3050
2,1,3,6132
2,1,4,7288
2,1,5,8269
2,1,6,10790
2,1,7,13936
2,1,8,14162
2,1,9,17235
2,1,10,18512
2,2,1,1221
2,2,2,3123
2,2,3,4580
2,2,4,6711
2,2,5,7620
2,2,6,9069
2,2,7,10306
2,2,8,12683
2,2,9,13031
2,2,10,14972
2,3,1,11902
2,3,2,20038
2,3,3,37895
2,3,4,43483
2,3,5,54590
2,3,6,67308
2,3,7,80675
2,3,8,88915
2,3,9,106872
2,3,10,116075
2,4,1,1723
2,4,2,2968
2,4,3,4448
2,4,4,6584
2,4,5,7498
2,4,6,9088
2,4,7,9499
2,4,8,11917
2,4,9,13616
2,4,10,14600
3,1,1,4292
3,1,2,8136
3,1,3,11147
3,1,4,12689
3,1,5,17525
3,1,6,22374
3,1,7,25275
3,1,8,28248
3,1,9,34105
3,1,10,36700
3,2,1,2569
3,2,2,4384
3,2,3,7686
3,2,4,10316
3,2,5,11477
3,2,6,12549
3,2,7,17229
3,2,8,17615
3,2,9,20601
3,2,10,22866
3,3,1,24573
3,3,2,35433
3,3,3,57082
3,3,4,82368
3,3,5,103003
3,3,6,134237
3,3,7,150750
3,3,8,161700
3,3,9,193852
3,3,10,214693
3,4,1,2467
3,4,2,4287
3,4,3,6315
3,4,4,10530
3,4,5,11102
3,4,6,13365
3,4,7,17576
3,4,8,17737
3,4,9,21403
3,4,10,23418
4,1,1,411
4,1,2,817
4,1,3,1296
4,1,4,2000
4,1,5,2231
4,1,6,2947
4,1,7,3344
4,1,8,4028
4,1,9,4572
4,1,10,4922
4,2,1,97
4,2,2,157
4,2,3,266
4,2,4,332
4,2,5,459
4,2,6,501
4,2,7,671
4,2,8,728
4,2,9,815
4,2,10,912
4,3,1,2723
4,3,2,5098
4,3,3,7301
4,3,4,9602
4,3,5,14018
4,3,6,16008
4,3,7,18310
4,3,8,20867
4,3,9,24144
4,3,10,27032
4,4,1,125
4,4,2,193
4,4,3,349
4,4,4,435
4,4,5,478
4,4,6,690
4,4,7,813
4,4,8,875
