"Candidates","Customers","DistanceCandidateCustomer"
1,1,0
1,2,1.25
1,3,3.63
1,4,5.34
1,5,9.13
1,6,2.37
1,7,3.06
1,8,8.21
1,9,6.12
1,10,6.66
1,11,2.95
1,12,2.17
1,13,28.93
1,14,18.7
1,15,9.06
1,16,28.23
1,17,31.54
1,18,45.77
1,19,46.09
1,20,66.9
1,21,60.38
1,22,13.25
1,23,19.05
1,24,30.39
1,25,41.02
1,26,46.18
1,27,53.35
1,28,18.27
1,29,28.49
1,30,35.12
1,31,40.3
1,32,52.46
1,33,65.28
1,34,64.86
1,35,66.96
1,36,64.42
1,37,63.67
1,38,66.29
1,39,67.44
1,40,59.61
1,41,50.9
1,42,38.33
1,43,35.19
1,44,52.95
1,45,211.2
1,46,209.21
1,47,194.74
1,48,182.89
1,49,222.42
1,50,234.25
1,51,228.39
1,52,243.06
1,53,232.02
1,54,189.58
1,55,205.51
1,56,214.58
1,57,190.12
1,58,197.72
1,59,119.78
1,60,119.48
1,61,118.99
1,62,116.57
1,63,118.81
1,64,120.32
1,65,121.41
1,66,121.08
1,67,120.68
1,68,126.54
1,69,122.42
1,70,116.9
1,71,124.44
1,72,122.12
1,73,134.17
1,74,129.02
1,75,128.4
1,76,128.89
1,77,129.96
1,78,127.55
1,79,133.57
1,80,131.41
1,81,134.75
1,82,130.59
1,83,128.42
1,84,130
1,85,119.75
1,86,116.23
1,87,112.53
1,88,110.79
1,89,145.54
1,90,137.76
1,91,136.66
1,92,139.73
1,93,137.59
1,94,141.66
1,95,136.37
1,96,141.29
1,97,152.13
1,98,148.84
1,99,144.77
1,100,153.88
1,101,151.83
1,102,149.53
1,103,143.16
1,104,138.81
1,105,128.35
1,106,127.03
1,107,117.29
1,108,118.22
1,109,119.16
1,110,120.51
1,111,122.83
1,112,127.78
1,113,124.86
1,114,122.3
1,115,123.16
1,116,128.97
1,117,122.02
1,118,125.61
1,119,122.73
1,120,120.42
1,121,116.44
1,122,115.77
1,123,120.17
1,124,113.86
1,125,111.59
1,126,107.87
1,127,110.9
1,128,115.71
1,129,123.7
1,130,131.8
1,131,124.19
1,132,137.1
1,133,121.79
1,134,143.95
1,135,144.57
1,136,145.17
1,137,143.85
1,138,144.84
1,139,147.46
1,140,146.1
1,141,148.22
1,142,148.88
1,143,147.6
1,144,145.8
1,145,142.15
1,146,143.6
1,147,147.77
1,148,143
1,149,144.52
1,150,141.4
1,151,140.23
1,152,144.4
1,153,148.78
1,154,147.99
1,155,149.81
1,156,148.98
1,157,148.38
1,158,150.76
1,159,148.11
1,160,149.69
1,161,150.19
1,162,150.08
1,163,147.91
1,164,147.83
1,165,135.87
1,166,143.09
1,167,132.79
1,168,138.49
1,169,131.65
1,170,132.63
1,171,138.86
1,172,143.87
1,173,146.8
1,174,146.62
1,175,150.41
1,176,152.58
1,177,150.88
1,178,153.78
1,179,153.51
1,180,148.27
1,181,149.04
1,182,143.97
1,183,152.35
1,184,298.79
1,185,300.74
1,186,264.75
1,187,269.61
1,188,283.67
1,189,271.99
1,190,284.66
1,191,300.07
1,192,327.26
1,193,105.21
1,194,104.9
1,195,106.23
1,196,119.39
1,197,113.31
