Cluster,Products,Periods,Scenarios,DemandPeriodScenarios,Closest_Index
0,1,1.0,1.0,608.0,190
0,1,1.0,2.0,527.0,190
0,1,1.0,3.0,549.0,190
0,1,1.0,4.0,540.0,190
0,1,1.0,5.0,545.0,190
0,1,1.0,6.0,619.0,190
0,1,1.0,7.0,557.0,190
0,1,1.0,8.0,478.0,190
0,1,1.0,9.0,469.0,190
0,1,1.0,10.0,441.0,190
0,1,1.0,11.0,473.0,190
0,1,1.0,12.0,557.0,190
0,1,1.0,13.0,638.0,190
0,1,1.0,14.0,533.0,190
0,1,1.0,15.0,553.0,190
0,1,1.0,16.0,535.0,190
0,1,1.0,17.0,679.0,190
0,1,1.0,18.0,484.0,190
0,1,1.0,19.0,545.0,190
0,1,1.0,20.0,462.0,190
0,1,1.0,21.0,570.0,190
0,1,1.0,22.0,514.0,190
0,1,1.0,23.0,521.0,190
0,1,1.0,24.0,507.0,190
0,1,1.0,25.0,567.0,190
0,1,1.0,26.0,549.0,190
0,1,1.0,27.0,544.0,190
0,1,1.0,28.0,489.0,190
0,1,1.0,29.0,528.0,190
0,1,1.0,30.0,494.0,190
0,1,1.0,31.0,575.0,190
0,1,1.0,32.0,583.0,190
0,1,1.0,33.0,446.0,190
0,1,1.0,34.0,625.0,190
0,1,1.0,35.0,413.0,190
0,1,1.0,36.0,546.0,190
0,1,1.0,37.0,501.0,190
0,1,1.0,38.0,526.0,190
0,1,1.0,39.0,472.0,190
0,1,1.0,40.0,530.0,190
0,1,1.0,41.0,558.0,190
0,1,1.0,42.0,582.0,190
0,1,1.0,43.0,562.0,190
0,1,1.0,44.0,563.0,190
0,1,1.0,45.0,513.0,190
0,1,1.0,46.0,561.0,190
0,1,1.0,47.0,475.0,190
0,1,1.0,48.0,582.0,190
0,1,1.0,49.0,524.0,190
0,1,1.0,50.0,502.0,190
0,1,1.0,51.0,546.0,190
0,1,1.0,52.0,472.0,190
0,1,1.0,53.0,505.0,190
0,1,1.0,54.0,539.0,190
0,1,1.0,55.0,512.0,190
0,1,1.0,56.0,534.0,190
0,1,1.0,57.0,530.0,190
0,1,1.0,58.0,494.0,190
0,1,1.0,59.0,556.0,190
0,1,1.0,60.0,535.0,190
0,1,1.0,61.0,493.0,190
0,1,1.0,62.0,573.0,190
0,1,1.0,63.0,615.0,190
0,1,1.0,64.0,611.0,190
0,1,1.0,65.0,597.0,190
0,1,1.0,66.0,411.0,190
0,1,1.0,67.0,601.0,190
0,1,1.0,68.0,573.0,190
0,1,1.0,69.0,475.0,190
0,1,1.0,70.0,523.0,190
0,1,1.0,71.0,598.0,190
0,1,1.0,72.0,631.0,190
0,1,1.0,73.0,573.0,190
0,1,1.0,74.0,500.0,190
0,1,1.0,75.0,531.0,190
0,1,1.0,76.0,494.0,190
0,1,1.0,77.0,492.0,190
0,1,1.0,78.0,658.0,190
0,1,1.0,79.0,625.0,190
0,1,1.0,80.0,442.0,190
0,1,1.0,81.0,409.0,190
0,1,1.0,82.0,476.0,190
0,1,1.0,83.0,455.0,190
0,1,1.0,84.0,565.0,190
0,1,1.0,85.0,591.0,190
0,1,1.0,86.0,547.0,190
0,1,1.0,87.0,476.0,190
0,1,1.0,88.0,578.0,190
0,1,1.0,89.0,564.0,190
0,1,1.0,90.0,573.0,190
0,1,1.0,91.0,448.0,190
0,1,1.0,92.0,501.0,190
0,1,1.0,93.0,433.0,190
0,1,1.0,94.0,544.0,190
0,1,1.0,95.0,563.0,190
0,1,1.0,96.0,551.0,190
0,1,1.0,97.0,496.0,190
0,1,1.0,98.0,616.0,190
0,1,1.0,99.0,537.0,190
0,1,1.0,100.0,480.0,190
0,1,2.0,1.0,1186.0,190
0,1,2.0,2.0,885.0,190
0,1,2.0,3.0,807.0,190
0,1,2.0,4.0,1128.0,190
0,1,2.0,5.0,933.0,190
0,1,2.0,6.0,1082.0,190
0,1,2.0,7.0,683.0,190
0,1,2.0,8.0,777.0,190
0,1,2.0,9.0,751.0,190
0,1,2.0,10.0,759.0,190
0,1,2.0,11.0,931.0,190
0,1,2.0,12.0,949.0,190
0,1,2.0,13.0,970.0,190
0,1,2.0,14.0,1059.0,190
0,1,2.0,15.0,899.0,190
0,1,2.0,16.0,933.0,190
0,1,2.0,17.0,1229.0,190
0,1,2.0,18.0,1009.0,190
0,1,2.0,19.0,874.0,190
0,1,2.0,20.0,781.0,190
0,1,2.0,21.0,729.0,190
0,1,2.0,22.0,759.0,190
0,1,2.0,23.0,931.0,190
0,1,2.0,24.0,1250.0,190
0,1,2.0,25.0,1028.0,190
0,1,2.0,26.0,1005.0,190
0,1,2.0,27.0,1062.0,190
0,1,2.0,28.0,796.0,190
0,1,2.0,29.0,982.0,190
0,1,2.0,30.0,923.0,190
0,1,2.0,31.0,878.0,190
0,1,2.0,32.0,914.0,190
0,1,2.0,33.0,717.0,190
0,1,2.0,34.0,1065.0,190
0,1,2.0,35.0,814.0,190
0,1,2.0,36.0,937.0,190
0,1,2.0,37.0,946.0,190
0,1,2.0,38.0,991.0,190
0,1,2.0,39.0,725.0,190
0,1,2.0,40.0,865.0,190
0,1,2.0,41.0,796.0,190
0,1,2.0,42.0,971.0,190
0,1,2.0,43.0,888.0,190
0,1,2.0,44.0,951.0,190
0,1,2.0,45.0,793.0,190
0,1,2.0,46.0,1079.0,190
0,1,2.0,47.0,1155.0,190
0,1,2.0,48.0,769.0,190
0,1,2.0,49.0,1026.0,190
0,1,2.0,50.0,891.0,190
0,1,2.0,51.0,873.0,190
0,1,2.0,52.0,754.0,190
0,1,2.0,53.0,971.0,190
0,1,2.0,54.0,918.0,190
0,1,2.0,55.0,831.0,190
0,1,2.0,56.0,1125.0,190
0,1,2.0,57.0,948.0,190
0,1,2.0,58.0,784.0,190
0,1,2.0,59.0,845.0,190
0,1,2.0,60.0,750.0,190
0,1,2.0,61.0,888.0,190
0,1,2.0,62.0,978.0,190
0,1,2.0,63.0,1101.0,190
0,1,2.0,64.0,1074.0,190
0,1,2.0,65.0,879.0,190
0,1,2.0,66.0,879.0,190
0,1,2.0,67.0,1175.0,190
0,1,2.0,68.0,1108.0,190
0,1,2.0,69.0,985.0,190
0,1,2.0,70.0,985.0,190
0,1,2.0,71.0,982.0,190
0,1,2.0,72.0,1208.0,190
0,1,2.0,73.0,1074.0,190
0,1,2.0,74.0,904.0,190
0,1,2.0,75.0,1027.0,190
0,1,2.0,76.0,793.0,190
0,1,2.0,77.0,833.0,190
0,1,2.0,78.0,1039.0,190
0,1,2.0,79.0,1073.0,190
0,1,2.0,80.0,815.0,190
0,1,2.0,81.0,783.0,190
0,1,2.0,82.0,898.0,190
0,1,2.0,83.0,793.0,190
0,1,2.0,84.0,1056.0,190
0,1,2.0,85.0,1112.0,190
0,1,2.0,86.0,1074.0,190
0,1,2.0,87.0,768.0,190
0,1,2.0,88.0,1040.0,190
0,1,2.0,89.0,926.0,190
0,1,2.0,90.0,983.0,190
0,1,2.0,91.0,977.0,190
0,1,2.0,92.0,1102.0,190
0,1,2.0,93.0,806.0,190
0,1,2.0,94.0,925.0,190
0,1,2.0,95.0,969.0,190
0,1,2.0,96.0,716.0,190
0,1,2.0,97.0,993.0,190
0,1,2.0,98.0,803.0,190
0,1,2.0,99.0,995.0,190
0,1,2.0,100.0,993.0,190
0,1,3.0,1.0,1805.0,190
0,1,3.0,2.0,1441.0,190
0,1,3.0,3.0,1259.0,190
0,1,3.0,4.0,1646.0,190
0,1,3.0,5.0,1514.0,190
0,1,3.0,6.0,1588.0,190
